MSKU,Product Name,Product Description,Category,Product/Warranty Type,Product/Sales Price,Quantity On Hand,Image Status,Source URL,Notes
645,PwS03+ External Power Switch and Usb Hub Desktop,"An external desktop power switch combined with a USB hub, designed to provide convenient access to power control and USB connectivity. It is useful for desktop setups where easier access to these functions is desired.",ACCESSORIES,NO WTY.,50,1,NOT_FOUND,,no confident EasyPC match
6252,RAKK SINAG98 Polycarbonate Case,A polycarbonate protective case designed for the RAKK SINAG98. Its durable case material helps protect the compatible device while maintaining access to its essential features.,ACCESSORIES,7 DAYS REPLACEMENT.,1,1,NOT_FOUND,,no confident EasyPC match
11510,Accutone Nexus 2000 MagSafe Speaker Blue,"A compact blue speaker designed for convenient wireless audio playback with MagSafe-compatible devices. It is suitable for music, videos, calls, and casual entertainment.",AUDIO,1 YR WTY.,1250,1,NOT_FOUND,,no confident EasyPC match
11511,Accutone Nexus 2000 MagSafe Speaker Gray,A gray MagSafe-compatible speaker designed for convenient audio playback from compatible devices. Its compact design makes it suitable for everyday listening and entertainment.,AUDIO,1 YR WTY.,1250,2,NOT_FOUND,,no confident EasyPC match
11512,Accutone Nexus 2000 MagSafe Speaker Pink,"A pink MagSafe-compatible speaker designed for convenient wireless audio use. It provides a compact audio solution for music, videos, and everyday entertainment.",AUDIO,1 YR WTY.,1250,1,NOT_FOUND,,no confident EasyPC match
11134,Ad-Link ADAPTER (A53) DP TO VGA CONVERTER,A DisplayPort-to-VGA converter designed to connect a DisplayPort-equipped computer to a VGA display. It is useful for connecting modern PCs to compatible older monitors or projectors.,CABLES AND ADAPTERS,3 MON WTY,220,2,NOT_FOUND,,no confident EasyPC match
11140,Ad-Link CABLE (HDMI BLUEMESH V1.4) 10M,A 10-meter HDMI cable designed to transmit compatible digital video and audio signals between HDMI devices. Its extended length is useful for setups where the display is positioned farther from the source device.,CABLES AND ADAPTERS,6 MON WTY.,350,3,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/Ad-link10MetersBluemeshPureCopperHighQualityHDMICable-a.jpg?v=1629739545,title=Ad-link 10 Meters Bluemesh Pure Copper High Quality HDMI Cable; weak match ratio=0.62 hits=5/8
11143,Ad-Link CABLE (V705) VGA 3+4 1.5M,A 1.5-meter VGA cable designed for connecting compatible computers and VGA displays. It provides a practical solution for traditional analog video connections.,CABLES AND ADAPTERS,6 MON WTY.,80,2,NOT_FOUND,,no confident EasyPC match
11144,Ad-Link CABLE (V73) VGA 3+4 (3M),"A 3-meter VGA cable designed to connect compatible computers, monitors, and other VGA-equipped displays. Its longer length provides additional flexibility for desktop and presentation setups.",CABLES AND ADAPTERS,6 MON WTY.,150,3,NOT_FOUND,,no confident EasyPC match
7824,Hikvision E-HWID 2.8MM Eco-HiWatch 2.mm IR Dome E-HWID,An infrared dome surveillance camera designed for security monitoring applications. Its dome-style design and IR capability make it suitable for indoor or other compatible surveillance installations.,CAMERA,1 YR WTY.,1450,3,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/Hikvision_HWI-D121H_Dome_Camera-a.jpg?v=1695366018,title=Hikvision HWI-D121H IPC 2MP HiWatch 2.8MM Network DOME Camera; weak match ratio=0.55 hits=6/11
7,AMD Stock Heatsink Fan,An AMD stock heatsink and fan designed to cool compatible AMD processors. It helps dissipate processor heat and maintain appropriate operating temperatures during normal workloads.,COOLING,NO WTY.,140,1,NOT_FOUND,,no confident EasyPC match
11005,Asus AR120 ARGB PWM Single Chassis Fan Black,A black 120mm-class ARGB PWM chassis fan designed to improve airflow inside a desktop PC. PWM control allows compatible systems to regulate fan speed according to cooling requirements.,COOLING,1 MON WTY.,150,23,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/artboard-1-2_15169487-f9b5-4a88-97de-6c3465f56cad.png?v=1763942007,title=Jungle Leopard Interstellar V4 DGT Single Fan ARGB Chassis Fan White; weak match ratio=0.57 hits=4/7
11216,CoolerMaster MasterLiquid Core Nex 360 ARGB CPU Liquid Cooler Black,A 360mm ARGB liquid CPU cooler designed for high-performance processor cooling. It combines a large radiator with illuminated styling for demanding gaming and workstation systems.,COOLING,1 YR WTY.,4450,2,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/COOLERMASTERMASTERLIQUIDPL360-c.png?v=1692245518,title=COOLERMASTER MASTERLIQUID PL360 FLUX ARGB Liquid Cooler (MLY-D36M-A23PZ-R1); weak match ratio=0.56 hits=5/9
10373,DarkFlash Infinity 34 Single ARGB Chassis Fan White,A white ARGB chassis fan designed to provide additional airflow for compatible PC cases. Its lighting also adds a decorative element to customized systems.,COOLING,1 WK WTY.,420,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/artboard-1-2_15169487-f9b5-4a88-97de-6c3465f56cad.png?v=1763942007,title=Jungle Leopard Interstellar V4 DGT Single Fan ARGB Chassis Fan White; weak match ratio=0.57 hits=4/7
11159,Jungle Leopard Chill Arc 360mm ARGB Liquid Cooling Black,A black 360mm ARGB liquid cooling system designed for effective processor heat dissipation. Its large radiator and illuminated design make it suitable for performance and gaming builds.,COOLING,1 YR WTY.,10950,1,NOT_FOUND,,no confident EasyPC match
11160,Jungle Leopard Chill Arc 360mm ARGB Liquid Cooling White,A white 360mm ARGB liquid CPU cooler designed for efficient processor cooling. It combines high-capacity cooling with a clean appearance for customized PC builds.,COOLING,1 YR WTY.,11295,1,NOT_FOUND,,no confident EasyPC match
11258,"AOC Q27G4SL/WS 27"" QHD 320Hz Fast IPS HDR 400 Monitor",A 27-inch QHD Fast IPS monitor with a 320Hz refresh rate and HDR 400 support. It is designed for competitive gaming and detailed multimedia viewing with smooth high-speed visuals.,DISPLAY,1 YR WTY.,13800,1,NOT_FOUND,,no confident EasyPC match
10711,"ASUS TUF Gaming Series 5 VG259QMR5A 24.5"" FHD 310Hz(OC) Fast-IPS Monitor",A 24.5-inch Full HD Fast IPS gaming monitor supporting up to 310Hz overclocked refresh. It is designed for competitive gaming where fast motion and responsive display performance are important.,DISPLAY,EASYFIX WTY.,9495,1,NOT_FOUND,,no confident EasyPC match
11473,"Asus TUF Gaming VG259QM5A 24.5"" 240Hz IPS Gaming Monitor",A 24.5-inch Full HD IPS gaming monitor with a 240Hz refresh rate. It is designed to provide smooth motion and responsive visuals for fast-paced gaming.,DISPLAY,1 YR WTY.,7895,3,NOT_FOUND,,no confident EasyPC match
11151,"MSI MAG 275QF E20 27"" WQHD 200Hz Rapid IPS Monitor","A 27-inch WQHD Rapid IPS monitor with a 200Hz refresh rate. It combines detailed resolution with high refresh performance for gaming, productivity, and multimedia use.",DISPLAY,EASYFIX WTY.,11500,2,NOT_FOUND,,no confident EasyPC match
9904,,"A 24-inch Full HD IPS gaming monitor featuring a 240Hz refresh rate, 1ms MPRT, and HDR10 support. It is designed for fast-paced gaming with smooth motion and enhanced visual contrast.",DISPLAY,1 YR WTY.,6330,3,NOT_FOUND,,no confident EasyPC match
10155,ASUS DUAL GeForce RTX 5060 (DUAL-RTX5060-8G) 8GB 128-bit GDDR7 Videocard,"A dedicated ASUS graphics card featuring the GeForce RTX 5060 GPU, 8GB of GDDR7 memory, and a 128-bit memory interface. It is designed for modern gaming, graphics-intensive applications, and content creation.",GRAPHIC CARD,1 YR WTY.,24950,5,NOT_FOUND,,Rejected prior match: CSV is non-OC DUAL-RTX5060-8G; EasyPC hit was OC DUAL-RTX5060-O8G
11557,ASUS DUAL Nvidia GeForce RTX 5060 Ti OC Edition (DUAL-RTX5060TI-O8G) 8GB 128-bit GDDR7 Videocard,An ASUS RTX 5060 Ti OC graphics card equipped with 8GB GDDR7 memory and a 128-bit interface. It is designed for high-performance gaming and graphics-intensive workloads.,GRAPHIC CARD,12 Months EasyFix Warranty,28950,1,NOT_FOUND,,no confident EasyPC match
9396,Biostar Rx 580 VA5815RQ82 Dual Cooling Fan 8gb 256bit GDdr5 Gaming Videocard,A Biostar Radeon RX 580 graphics card with 8GB of GDDR5 memory and a 256-bit interface. Its dual-fan cooling design is intended to help manage GPU temperatures during gaming and graphics workloads.,GRAPHIC CARD,EASYFIX WTY.,7950,13,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/genie_20210528225056382_9536222997.jpg?v=1622213518,title=Asus Rx 580 Dual OC 8gb 256bit GDdr5 Gaming Videocard; weak match ratio=0.67 hits=8/12
11636,Colorful Nvidia GeForce RTX 3050 6GB V4-V 96-bit GDDR6 Videocard,"A GeForce RTX 3050 graphics card equipped with 6GB of GDDR6 memory and a 96-bit interface. It is designed for gaming, graphics acceleration, and everyday GPU-intensive applications.",GRAPHIC CARD,1 YR WTY.,12250,2,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/fwebp.webp?v=1761256348,title=ASUS Dual Nvidia Geforce RTX 3050 OC Edition (DUAL-RTX3050-O6G) 6GB 96-bit GDRR6 Videocard; weak match ratio=0.73 hits=8/11
10080,Gigabyte Nvidia GeForce RTX 5060 AERO OC (GV-N5060AERO-OC-8GD) 8GB 128-bit GDDR7 Videocard,A Gigabyte AERO OC RTX 5060 graphics card with 8GB GDDR7 memory and a 128-bit interface. It is designed to provide strong graphics performance for gaming and creative workloads.,GRAPHIC CARD,1 YR WTY.,25750,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/600_5.png?v=1761256179,title=MSI Nvidia GeForce RTX 5060 VENTUS 2X OC (G5060-8V2C) 8GB 128-bit GDDR7 Videocard; weak match ratio=0.69 hits=11/16
8396,MSI GEFORCE RTX 3050 VENTUS 2X OC 6GB 96-bit DDR6 Videocard,An MSI RTX 3050 Ventus 2X OC graphics card with 6GB memory and a 96-bit interface. Its dual-fan design is intended to provide cooling during gaming and graphics-intensive workloads.,GRAPHIC CARD,EASYFIX WTY.,14200,10,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/fwebp.webp?v=1761256348,title=ASUS Dual Nvidia Geforce RTX 3050 OC Edition (DUAL-RTX3050-O6G) 6GB 96-bit GDRR6 Videocard; weak match ratio=0.67 hits=8/12
11591,MSI GeForce RTX 5060 Ventus 2X OC v1 (G5060-8V2CV1) 8GB 128-bit GDDR7 Videocard,An MSI RTX 5060 Ventus 2X OC graphics card featuring 8GB GDDR7 memory and a 128-bit interface. It is designed for modern gaming and demanding graphics applications.,GRAPHIC CARD,12 Months EasyFix Warranty,25650,4,NOT_FOUND,,no confident EasyPC match
10152,MSI GeForce RTX 5070 Ti VENTUS 3X OC (G507T-16V3C) 16GB 256-bit GDDR7 Videocard,An MSI RTX 5070 Ti Ventus 3X OC graphics card with 16GB GDDR7 memory and a 256-bit interface. Its high-capacity memory and triple-fan design make it suited to demanding gaming and creative workloads.,GRAPHIC CARD,1 YR WTY.,65950,2,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/600_4.png?v=1757388491,title=MSI GeForce RTX 5070 Ti Gaming Graphics Card 16GB GDDR7 - VENTUS 3X OC GS07T-16V3C; weak match ratio=0.73 hits=11/15
10660,MSI Nvidia GeForce RTX 5050 VENTUS 2X OC (G5050-8V2C) 128-bit GDDR6 Videocard,An MSI RTX 5050 Ventus 2X OC graphics card designed for dedicated graphics performance in compatible desktop systems. Its dual-fan cooler helps manage GPU temperatures during demanding workloads.,GRAPHIC CARD,EASYFIX WTY.,19950,3,NOT_FOUND,,no confident EasyPC match
10225,MSI Nvidia GeForce RTX 5060 SHADOW 2X OC (G5060-8S2C) 8GB 128-bit GDDR7 Videocard,An MSI RTX 5060 Shadow 2X OC graphics card with 8GB GDDR7 memory and a 128-bit interface. It is designed for gaming and graphics-intensive applications requiring modern GPU performance.,GRAPHIC CARD,1 YR WTY.,24950,7,NOT_FOUND,,no confident EasyPC match
160,Seagate 1tb ST1000DM010 Harddisk Drive,"A 1TB Seagate hard disk drive designed to provide large-capacity storage for files, applications, media, and backups. It is suitable for desktop computers and general storage requirements.",HARD DISK,EASYFIX WTY.,3450,30,NOT_FOUND,,Matched Seagate ST1000DM014; CSV is ST1000DM010
11550,"Lenovo V15 G5 IRL 15.6"" Intel Core i5-13420H/16GB DDR5/512GB SSD Laptop/Win11 Laptop SE + Laptop Bag","A 15.6-inch Lenovo V15 laptop equipped with an Intel Core i5-13420H processor, 16GB DDR5 memory, and 512GB SSD storage. It is designed for business, productivity, multitasking, and everyday professional use, with a laptop bag included.",LAPTOP PR3,1 YR WTY.,44995,2,NOT_FOUND,,no confident EasyPC match
11185,Crucial 16GB CT16G4SFRA32A 3200Mhz DDR4 Sodimm,A 16GB DDR4-3200 SO-DIMM memory module designed for compatible laptops and compact computers. It provides additional system memory for smoother multitasking and everyday workloads.,MEMORY,1 YR WTY.,8250,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/2638-a.jpg?v=1588508916,title=Crucial Ballistix Tactical Tracer 16gb 2x8 3200mhz Ddr4 RGB Memory; weak match ratio=0.67 hits=4/6
11548,Hiksemi Future 16GB (16x1) HSC516U56C2 5600Mhz CL38 DDR5 Memory Black,A 16GB DDR5 memory module operating at 5600MHz with CL38 timing. Its black heatsink-style design makes it suitable for compatible modern desktop systems requiring a memory upgrade.,MEMORY,1 YR WTY.,14995,14,NOT_FOUND,,no confident EasyPC match
9794,"Nvision A24K6-S-i704-1625 Intel i7-4700M 16GB 256GB SSD 23.8"" FHD IPS All in One PC","An all-in-one PC combining a 23.8-inch Full HD IPS display with an Intel Core i7 processor, 16GB memory, and 256GB SSD. Its integrated design saves desk space while providing a complete desktop computing solution.",MINI PC,1 YR WTY.,16950,2,NOT_FOUND,,no confident EasyPC match
11558,Asus B760M-AYW WIFI Socket LGA 1700 Ddr4 Motherboard,"An ASUS motherboard using the Intel LGA 1700 socket and DDR4 memory support, with Wi-Fi connectivity. It is designed for compatible Intel desktop processors and modern PC builds.",MOTHERBOARD,12 Months EasyFix Warranty,9350,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/products/Asus_Prime_B550M-A_Wifi_II_Socket_Am4_Ddr4_Gaming_Motherboard-a.jpg?v=1702604556,title=Asus Prime B550M-A Wifi II Socket Am4 Ddr4 Gaming Motherboard; weak match ratio=0.56 hits=5/9
10647,ASUS PRIME B850M-A WIFI-CSM Socket AM5 DDR5 Motherboard,An ASUS Prime motherboard using the AM5 socket and DDR5 memory platform with Wi-Fi connectivity. It is designed for modern AMD Ryzen systems and feature-rich desktop configurations.,MOTHERBOARD,1 YR WTY.,11495,1,NOT_FOUND,,no confident EasyPC match
11593,Gigabyte B860M GAMING X WIFI6E LGA1851 Socket Ddr5 Motherboard,"A Gigabyte gaming motherboard using the LGA1851 socket and DDR5 memory, with Wi-Fi 6E connectivity. It is designed for modern Intel desktop systems and performance-oriented builds.",MOTHERBOARD,1 YR WTY.,12095,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11249-a.png?v=1778516158,title=Gigabyte B850M EAGLE WIFI6E ICE AM5 Socket Ddr5 Motherboard; weak match ratio=0.62 hits=5/8
10776,RAKK TALAN AERO X PAW3395 8K Polling Omron Optical Trimode Lightweight 55g Gaming Mouse Black,"A lightweight 55g black gaming mouse featuring a PAW3395 sensor, 8K polling, Omron optical switches, and tri-mode connectivity. It is designed for fast and precise competitive gaming performance.",MOUSE,EASYFIX WTY.,2195,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/RAKKTALANAEROTrimodePAW3395Lightweight57gGamingMouseWhite_5.png?v=1729655372,title=RAKK TALAN AERO Trimode PAW3395 Lightweight 57g Gaming Mouse White; weak match ratio=0.62 hits=8/13
11460,ASUS RT-BE50 BE3600 Dual Band WiFi 7 Router,"A dual-band Wi-Fi 7 router designed to provide modern wireless networking for homes and small offices. Its BE3600-class performance is suited to connecting multiple devices for browsing, streaming, gaming, and everyday network use.",NETWORK DEVICE,1 YR WTY.,2995,1,MATCH_UNCERTAIN,https://cdn.shopify.com/s/files/1/0101/4864/2879/files/ASUSRT-AX52_AX1800_DualBandWiFi6ExtendableRouter_6.png?v=1730780776,title=ASUS RT-AX52 (AX1800) Dual Band WiFi 6 Extendable Router; weak match ratio=0.67 hits=6/9
