MSKU,"Product Description",Category,"Image Filename","Image Relative Path","Source URL","Source Type","Match Method","Match Confidence","Image Status","File Size Bytes",Notes
645,"An external desktop power switch combined with a USB hub, designed to provide convenient access to power control and USB connectivity. It is useful for desktop setups where easier access to these functions is desired.",ACCESSORIES,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
7374,"A pair of RAKK PRIYO cushion foams designed to provide added cushioning and comfort for compatible equipment or accessories. The foam construction helps improve the overall fit and user experience.",ACCESSORIES,"RAKK PRIYO Cushion Foam Pair.jpg","assets/products/Accessories/RAKK PRIYO Cushion Foam Pair.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/RAKKPRIYO-a.png?v=1695187995,easypc,name,HIGH,DOWNLOADED,71342,"title=RAKK PRIYO Cushion Foam Pair; exact/near title; saved 1000x1000 PNG"
6252,"A polycarbonate protective case designed for the RAKK SINAG98. Its durable case material helps protect the compatible device while maintaining access to its essential features.",ACCESSORIES,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11509,"A black noise-cancelling headset designed for clearer communication and comfortable everyday audio use. It is suitable for calls, meetings, online classes, and general multimedia.",AUDIO,"Accutone Converse 95 Noise Cancelling Headset Black.png","assets/products/Audio/Accutone Converse 95 Noise Cancelling Headset Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11509-a.png?v=1782344024,easypc,name,HIGH,DOWNLOADED,323129,"title=Accutone Converse 95 Noise Cancelling Headset Black; exact/near title; saved 1000x1000 PNG"
11510,"A compact blue speaker designed for convenient wireless audio playback with MagSafe-compatible devices. It is suitable for music, videos, calls, and casual entertainment.",AUDIO,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11511,"A gray MagSafe-compatible speaker designed for convenient audio playback from compatible devices. Its compact design makes it suitable for everyday listening and entertainment.",AUDIO,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11512,"A pink MagSafe-compatible speaker designed for convenient wireless audio use. It provides a compact audio solution for music, videos, and everyday entertainment.",AUDIO,,,,,none,NONE,NOT_FOUND,0,"no confident EasyPC match"
11508,"A black headset supporting both wireless and wired connectivity, with noise-cancelling functionality for clearer listening and communication. It is suitable for work, gaming, online meetings, and entertainment.",AUDIO,"Accutone Sonar 280 Wireless & Wired Noise Cancelling Headset Black.jpg","assets/products/Audio/Accutone Sonar 280 Wireless & Wired Noise Cancelling Headset Black.jpg",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/a4c14ab7794d150c57e66a3cb13e8948.jpg?v=1783321447,easypc,name,HIGH,DOWNLOADED,124857,"title=Accutone Sonar 280 Wireless & Wired Noise Cancelling Headset Black; exact/near title; saved 1500x1500 JPEG"
11612,"A black USB stereo headset designed for convenient computer audio and communication. Its USB connection makes it suitable for calls, online meetings, classes, and multimedia use.",AUDIO,"Accutone UB101 Stereo USB Headset Black.png","assets/products/Audio/Accutone UB101 Stereo USB Headset Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/195bdc81b9dd7cba86de634c35e74e84.png?v=1783649316,easypc,name,HIGH,DOWNLOADED,213390,"title=Accutone UB101 Stereo USB Headset Black; exact/near title; saved 1000x1000 PNG"
11507,"A black noise-cancelling headset designed to reduce surrounding distractions while providing clear audio. It is suitable for communication, productivity, and everyday listening.",AUDIO,"Accutone UB210 Noise Cancelling Headset Black.png","assets/products/Audio/Accutone UB210 Noise Cancelling Headset Black.png",https://cdn.shopify.com/s/files/1/0101/4864/2879/files/11507-a.png?v=1782344011,easypc,name,HIGH,DOWNLOADED,389164,"title=Accutone UB210 Noise Cancelling Headset Black; exact/near title; saved 1000x1000 PNG"
